Climate,SoilType,WaterLevel,LandSize,PlantName,FertilizerName,DiseasesName,MedicineName
Summer,Clay,medium,4.53,Ash Gourd (vellarikai),Vermicompost,Leaf Spot,Copper Fungicide
Cold,Loamy,high,1.84,Ash Gourd (vellarikai),Bone Meal,Powdery Mildew,Chlorothalonil
Spring,Black Soil,high,1.33,Ash Gourd (vellarikai),Vermicompost,Rust,Chlorothalonil
Rainy (Monsoon),Sandy,high,1,Ash Gourd (vellarikai),NPK,Wilt,Carbendazim
Summer,Sandy,high,0.71,Taro (senai kizhangu),Compost,Root Rot,Sulfur Spray
Cold,Black Soil,high,4.63,Taro (senai kizhangu),Bone Meal,Powdery Mildew,Carbendazim
Rainy (Monsoon),Black Soil,medium,3.59,Taro (senai kizhangu),Bone Meal,Powdery Mildew,Neem Oil
Spring,Black Soil,medium,3.64,Taro (senai kizhangu),NPK,Blight,Trichoderma
Cold,Black Soil,low,1.51,Taro (senai kizhangu),Compost,Powdery Mildew,Trichoderma
Cold,Clay,low,1.67,Taro (senai kizhangu),Bone Meal,Root Rot,Chlorothalonil
Cold,Sandy,medium,1.65,Taro (senai kizhangu),Bone Meal,Powdery Mildew,Neem Oil
Spring,Sandy,high,3.31,Taro (senai kizhangu),Farmyard Manure,Root Rot,Sulfur Spray
Cold,Clay,medium,0.91,Taro (senai kizhangu),Farmyard Manure,Leaf Spot,Carbendazim
Summer,Sandy,high,1.12,Taro (senai kizhangu),Farmyard Manure,Blight,Carbendazim
Cold,Red Soil,medium,1.44,Sweet Potato (sakkarai kizhangu),Urea,Wilt,Copper Fungicide
Winter,Red Soil,medium,4.11,Sweet Potato (sakkarai kizhangu),Urea,Powdery Mildew,Sulfur Spray
Spring,Black Soil,medium,4.96,Sweet Potato (sakkarai kizhangu),NPK,Root Rot,Copper Fungicide
Spring,Sandy,medium,3.61,Sweet Potato (sakkarai kizhangu),Compost,Powdery Mildew,Trichoderma
Winter,Silt,medium,2.96,Sweet Potato (sakkarai kizhangu),Urea,Rust,Neem Oil
Winter,Clay,medium,3.51,Sweet Potato (sakkarai kizhangu),NPK,Blight,Carbendazim
Rainy (Monsoon),Silt,medium,4.88,Sweet Potato (sakkarai kizhangu),NPK,Wilt,Chlorothalonil
Rainy (Monsoon),Silt,low,4.23,Sweet Potato (sakkarai kizhangu),Urea,Blight,Copper Fungicide
Rainy (Monsoon),Loamy,low,3.65,Sweet Potato (sakkarai kizhangu),Urea,Root Rot,Chlorothalonil
Winter,Clay,high,4.57,Sweet Potato (sakkarai kizhangu),Bone Meal,Wilt,Copper Fungicide
Cold,Loamy,high,1.23,Tapioca(Maravalli Kizhangu),Vermicompost,Root Rot,Trichoderma
Spring,Red Soil,high,2.5,Tapioca(Maravalli Kizhangu),NPK,Powdery Mildew,Carbendazim
Rainy (Monsoon),Silt,medium,1.71,Tapioca(Maravalli Kizhangu),Urea,Leaf Spot,Neem Oil
Spring,Loamy,high,1.18,Tapioca(Maravalli Kizhangu),Vermicompost,Powdery Mildew,Copper Fungicide
Rainy (Monsoon),Clay,medium,1.51,Tapioca(Maravalli Kizhangu),Vermicompost,Leaf Spot,Copper Fungicide
Spring,Loamy,medium,2.46,Tapioca(Maravalli Kizhangu),Compost,Leaf Spot,Copper Fungicide
Cold,Loamy,medium,1.1,Tapioca(Maravalli Kizhangu),Compost,Blight,Trichoderma
Summer,Sandy,high,3.55,Tapioca(Maravalli Kizhangu),Vermicompost,Leaf Spot,Copper Fungicide
Summer,Red Soil,high,0.73,Tapioca(Maravalli Kizhangu),Urea,Wilt,Neem Oil
Rainy (Monsoon),Clay,high,0.52,Tapioca(Maravalli Kizhangu),Vermicompost,Wilt,Sulfur Spray
Winter,Clay,high,3.27,Yam (chena kizhangu),Compost,Leaf Spot,Neem Oil
Summer,Silt,low,4.81,Yam (chena kizhangu),Compost,Rust,Neem Oil
Spring,Red Soil,medium,1.46,Yam (chena kizhangu),NPK,Wilt,Trichoderma
Winter,Silt,high,1.62,Yam (chena kizhangu),Farmyard Manure,Blight,Sulfur Spray
Cold,Sandy,low,2.86,Yam (chena kizhangu),Vermicompost,Leaf Spot,Sulfur Spray
Winter,Loamy,low,4.04,Yam (chena kizhangu),Compost,Wilt,Neem Oil
Rainy (Monsoon),Black Soil,medium,2.44,Yam (chena kizhangu),Vermicompost,Root Rot,Sulfur Spray
Winter,Black Soil,medium,4.71,Yam (chena kizhangu),NPK,Powdery Mildew,Sulfur Spray
Winter,Sandy,medium,1.33,Yam (chena kizhangu),Urea,Leaf Spot,Copper Fungicide
Spring,Clay,high,3.17,Yam (chena kizhangu),Compost,Rust,Copper Fungicide
Cold,Sandy,low,3.1,Amaranthus (sirukeerai),Compost,Rust,Neem Oil
Summer,Red Soil,low,2.71,Amaranthus (sirukeerai),Vermicompost,Leaf Spot,Copper Fungicide
Rainy (Monsoon),Black Soil,medium,4.45,Amaranthus (sirukeerai),Bone Meal,Wilt,Sulfur Spray
Summer,Loamy,high,1.08,Amaranthus (sirukeerai),Vermicompost,Blight,Neem Oil
Rainy (Monsoon),Clay,low,2.39,Amaranthus (sirukeerai),Urea,Powdery Mildew,Neem Oil
Rainy (Monsoon),Sandy,high,2.55,Amaranthus (sirukeerai),Compost,Powdery Mildew,Trichoderma
Spring,Loamy,low,2.1,Amaranthus (sirukeerai),Vermicompost,Powdery Mildew,Chlorothalonil
Winter,Silt,high,3.97,Amaranthus (sirukeerai),Vermicompost,Blight,Sulfur Spray
Cold,Black Soil,high,4.93,Amaranthus (sirukeerai),Farmyard Manure,Root Rot,Neem Oil
Cold,Black Soil,low,2.32,Amaranthus (sirukeerai),Urea,Rust,Chlorothalonil
Rainy (Monsoon),Clay,low,4.68,Fenugreek Leaf (vendhayam keerai),Bone Meal,Wilt,Trichoderma
Rainy (Monsoon),Red Soil,high,2.69,Fenugreek Leaf (vendhayam keerai),Compost,Blight,Copper Fungicide
Spring,Clay,high,2.37,Fenugreek Leaf (vendhayam keerai),Urea,Powdery Mildew,Chlorothalonil
Summer,Red Soil,medium,1.05,Fenugreek Leaf (vendhayam keerai),NPK,Rust,Sulfur Spray
Cold,Sandy,low,1.16,Fenugreek Leaf (vendhayam keerai),Vermicompost,Wilt,Neem Oil
Winter,Clay,high,4.6,Fenugreek Leaf (vendhayam keerai),Urea,Leaf Spot,Carbendazim
Spring,Loamy,high,3.79,Fenugreek Leaf (vendhayam keerai),NPK,Root Rot,Copper Fungicide
Summer,Red Soil,low,4.52,Fenugreek Leaf (vendhayam keerai),Urea,Blight,Trichoderma
Rainy (Monsoon),Black Soil,low,1.23,Fenugreek Leaf (vendhayam keerai),Bone Meal,Powdery Mildew,Carbendazim
Summer,Red Soil,high,2.69,Fenugreek Leaf (vendhayam keerai),Bone Meal,Root Rot,Carbendazim
Summer,Red Soil,medium,4.97,Mustard Greens (kadugu keerai),Urea,Root Rot,Neem Oil
Winter,Black Soil,high,0.77,Mustard Greens (kadugu keerai),Bone Meal,Powdery Mildew,Neem Oil
Spring,Silt,medium,1.13,Mustard Greens (kadugu keerai),Farmyard Manure,Powdery Mildew,Sulfur Spray
Winter,Loamy,high,2.58,Mustard Greens (kadugu keerai),Vermicompost,Wilt,Copper Fungicide
Winter,Black Soil,medium,3.06,Mustard Greens (kadugu keerai),Bone Meal,Rust,Trichoderma
Winter,Loamy,high,3.78,Mustard Greens (kadugu keerai),Bone Meal,Blight,Copper Fungicide
Rainy (Monsoon),Black Soil,medium,2.25,Mustard Greens (kadugu keerai),Farmyard Manure,Leaf Spot,Chlorothalonil
Summer,Loamy,low,1.44,Mustard Greens (kadugu keerai),Bone Meal,Blight,Trichoderma
Spring,Red Soil,high,2.26,Mustard Greens (kadugu keerai),Urea,Root Rot,Neem Oil
Winter,Black Soil,low,1.43,Mustard Greens (kadugu keerai),Farmyard Manure,Rust,Chlorothalonil
Winter,Silt,low,4.93,Dill (suvaikkirai),Vermicompost,Blight,Sulfur Spray
Summer,Red Soil,low,4.78,Dill (suvaikkirai),Farmyard Manure,Root Rot,Chlorothalonil
Winter,Silt,medium,3.46,Dill (suvaikkirai),Bone Meal,Rust,Sulfur Spray
Cold,Clay,medium,3.75,Dill (suvaikkirai),Farmyard Manure,Powdery Mildew,Neem Oil
Winter,Black Soil,low,1.23,Dill (suvaikkirai),Bone Meal,Leaf Spot,Trichoderma
Spring,Loamy,low,3.32,Dill (suvaikkirai),NPK,Blight,Neem Oil
Winter,Red Soil,medium,4,Dill (suvaikkirai),NPK,Leaf Spot,Copper Fungicide
Rainy (Monsoon),Sandy,medium,0.53,Dill (suvaikkirai),Farmyard Manure,Wilt,Copper Fungicide
Rainy (Monsoon),Black Soil,medium,3.58,Dill (suvaikkirai),Bone Meal,Blight,Sulfur Spray
Summer,Sandy,low,2.95,Dill (suvaikkirai),Urea,Powdery Mildew,Trichoderma
Summer,Clay,medium,3.47,Curry Leaf (karuveppilai),Vermicompost,Powdery Mildew,Copper Fungicide
Summer,Clay,medium,2.4,Curry Leaf (karuveppilai),Urea,Leaf Spot,Trichoderma
Summer,Loamy,low,0.76,Curry Leaf (karuveppilai),Compost,Blight,Neem Oil
Summer,Loamy,medium,3.63,Curry Leaf (karuveppilai),Urea,Leaf Spot,Sulfur Spray
Summer,Loamy,low,2.36,Curry Leaf (karuveppilai),Compost,Powdery Mildew,Trichoderma
Spring,Clay,medium,4.16,Curry Leaf (karuveppilai),Farmyard Manure,Rust,Neem Oil
Winter,Sandy,low,3.61,Curry Leaf (karuveppilai),NPK,Leaf Spot,Neem Oil
Rainy (Monsoon),Loamy,high,4.26,Curry Leaf (karuveppilai),NPK,Blight,Carbendazim
Cold,Loamy,medium,1.91,Curry Leaf (karuveppilai),Urea,Powdery Mildew,Trichoderma
Rainy (Monsoon),Sandy,low,2.6,Curry Leaf (karuveppilai),Urea,Powdery Mildew,Sulfur Spray
Rainy (Monsoon),Sandy,medium,2.35,Betel Leaf (thamizh ilai / vetrilai),Bone Meal,Wilt,Copper Fungicide
Summer,Sandy,medium,1.39,Betel Leaf (thamizh ilai / vetrilai),Urea,Wilt,Trichoderma
Winter,Black Soil,high,3.48,Betel Leaf (thamizh ilai / vetrilai),Bone Meal,Leaf Spot,Sulfur Spray
Winter,Red Soil,high,3.02,Betel Leaf (thamizh ilai / vetrilai),Farmyard Manure,Blight,Carbendazim
Winter,Red Soil,high,4.26,Betel Leaf (thamizh ilai / vetrilai),Farmyard Manure,Root Rot,Copper Fungicide
Winter,Loamy,low,3.49,Betel Leaf (thamizh ilai / vetrilai),Farmyard Manure,Blight,Neem Oil
Rainy (Monsoon),Loamy,high,3.99,Betel Leaf (thamizh ilai / vetrilai),Vermicompost,Rust,Trichoderma
Winter,Loamy,medium,4.09,Betel Leaf (thamizh ilai / vetrilai),Bone Meal,Leaf Spot,Copper Fungicide
Winter,Clay,medium,2.17,Betel Leaf (thamizh ilai / vetrilai),Vermicompost,Blight,Trichoderma
Rainy (Monsoon),Silt,medium,0.86,Betel Leaf (thamizh ilai / vetrilai),Bone Meal,Powdery Mildew,Trichoderma
Summer,Clay,medium,2.42,Lotus Root (thamarai moolam),Farmyard Manure,Rust,Trichoderma
Rainy (Monsoon),Silt,high,4.51,Lotus Root (thamarai moolam),Farmyard Manure,Root Rot,Neem Oil
Rainy (Monsoon),Red Soil,medium,2.82,Lotus Root (thamarai moolam),NPK,Leaf Spot,Sulfur Spray
Cold,Loamy,low,2.94,Lotus Root (thamarai moolam),Farmyard Manure,Leaf Spot,Copper Fungicide
Spring,Clay,high,2.96,Lotus Root (thamarai moolam),Bone Meal,Leaf Spot,Trichoderma
Winter,Black Soil,low,4.25,Lotus Root (thamarai moolam),Vermicompost,Powdery Mildew,Trichoderma
Spring,Black Soil,high,3.94,Lotus Root (thamarai moolam),Vermicompost,Powdery Mildew,Carbendazim
Rainy (Monsoon),Silt,medium,4.98,Lotus Root (thamarai moolam),NPK,Rust,Copper Fungicide
Summer,Sandy,high,2.42,Lotus Root (thamarai moolam),Farmyard Manure,Rust,Neem Oil
Cold,Silt,medium,1.23,Lotus Root (thamarai moolam),Compost,Rust,Trichoderma
Spring,Loamy,high,2.49,Bamboo Shoot (moongil kizhangu),Vermicompost,Wilt,Carbendazim
Winter,Silt,low,0.67,Bamboo Shoot (moongil kizhangu),Compost,Wilt,Neem Oil
Cold,Black Soil,low,2.05,Bamboo Shoot (moongil kizhangu),NPK,Powdery Mildew,Copper Fungicide
Summer,Silt,high,4.07,Bamboo Shoot (moongil kizhangu),Vermicompost,Powdery Mildew,Chlorothalonil
Summer,Sandy,high,1.51,Bamboo Shoot (moongil kizhangu),Urea,Root Rot,Copper Fungicide
Rainy (Monsoon),Silt,high,0.89,Bamboo Shoot (moongil kizhangu),NPK,Leaf Spot,Neem Oil
Cold,Silt,high,2.79,Bamboo Shoot (moongil kizhangu),Farmyard Manure,Blight,Trichoderma
Spring,Loamy,high,0.83,Bamboo Shoot (moongil kizhangu),Compost,Root Rot,Copper Fungicide
Summer,Sandy,low,4.63,Bamboo Shoot (moongil kizhangu),NPK,Powdery Mildew,Carbendazim
Cold,Loamy,medium,4.34,Bamboo Shoot (moongil kizhangu),Farmyard Manure,Wilt,Chlorothalonil
Winter,Loamy,high,2.2,Tamarind (puli),Bone Meal,Rust,Carbendazim
Winter,Silt,medium,1.36,Tamarind (puli),Urea,Wilt,Sulfur Spray
Cold,Loamy,high,3.5,Tamarind (puli),Urea,Rust,Trichoderma
Summer,Clay,medium,3.86,Tamarind (puli),NPK,Powdery Mildew,Copper Fungicide
Winter,Loamy,low,2.74,Tamarind (puli),Urea,Leaf Spot,Copper Fungicide
Winter,Silt,medium,3.71,Tamarind (puli),Urea,Rust,Copper Fungicide
Spring,Red Soil,medium,0.89,Tamarind (puli),Urea,Rust,Sulfur Spray
Spring,Red Soil,high,1.39,Tamarind (puli),NPK,Root Rot,Copper Fungicide
Winter,Clay,medium,0.74,Tamarind (puli),Urea,Leaf Spot,Chlorothalonil
Rainy (Monsoon),Sandy,low,3.05,Tamarind (puli),Urea,Powdery Mildew,Chlorothalonil
Rainy (Monsoon),Black Soil,medium,0.66,Bael (vilvam),NPK,Blight,Copper Fungicide
Summer,Sandy,medium,1.53,Bael (vilvam),Vermicompost,Powdery Mildew,Neem Oil
Spring,Silt,high,3.46,Bael (vilvam),Vermicompost,Blight,Carbendazim
Cold,Black Soil,high,3.39,Bael (vilvam),Bone Meal,Powdery Mildew,Copper Fungicide
Spring,Silt,medium,2.75,Bael (vilvam),Urea,Blight,Copper Fungicide
Spring,Loamy,low,2.66,Bael (vilvam),Urea,Powdery Mildew,Trichoderma
Spring,Black Soil,high,2.16,Bael (vilvam),Urea,Rust,Carbendazim
Rainy (Monsoon),Red Soil,medium,2.5,Bael (vilvam),Compost,Blight,Chlorothalonil
Rainy (Monsoon),Red Soil,medium,1.85,Bael (vilvam),Vermicompost,Powdery Mildew,Carbendazim
Summer,Red Soil,high,0.63,Bael (vilvam),Vermicompost,Rust,Neem Oil
Summer,Silt,high,1.65,Bael (vilvam),Farmyard Manure,Powdery Mildew,Trichoderma
Summer,Silt,low,4.3,Jamun (naval),Vermicompost,Rust,Sulfur Spray
Summer,Silt,medium,3.26,Jamun (naval),Vermicompost,Blight,Chlorothalonil
Rainy (Monsoon),Black Soil,low,2.02,Jamun (naval),Compost,Leaf Spot,Trichoderma
Cold,Red Soil,high,2.38,Jamun (naval),NPK,Root Rot,Carbendazim
Rainy (Monsoon),Sandy,high,2.19,Jamun (naval),Vermicompost,Powdery Mildew,Neem Oil
Cold,Sandy,low,4.45,Jamun (naval),Vermicompost,Rust,Neem Oil
Spring,Silt,low,4.84,Jamun (naval),NPK,Rust,Sulfur Spray
Cold,Loamy,high,2.39,Jamun (naval),NPK,Rust,Sulfur Spray
Winter,Black Soil,high,2.36,Jamun (naval),NPK,Leaf Spot,Sulfur Spray
Cold,Loamy,high,4.21,Karonda,Farmyard Manure,Root Rot,Copper Fungicide
Spring,Loamy,high,3.1,Karonda,Urea,Leaf Spot,Trichoderma
Spring,Loamy,low,4.21,Karonda,Urea,Powdery Mildew,Copper Fungicide
Rainy (Monsoon),Sandy,high,3.48,Karonda,NPK,Leaf Spot,Chlorothalonil
Spring,Clay,medium,3.51,Karonda,Compost,Rust,Sulfur Spray
Cold,Clay,low,4.83,Karonda,Compost,Rust,Trichoderma
Spring,Silt,high,4.85,Karonda,Vermicompost,Powdery Mildew,Copper Fungicide
Rainy (Monsoon),Clay,high,2.09,Karonda,Bone Meal,Powdery Mildew,Neem Oil
Spring,Silt,medium,0.97,Karonda,NPK,Leaf Spot,Carbendazim
Rainy (Monsoon),Silt,high,0.69,Karonda,Bone Meal,Powdery Mildew,Carbendazim
Winter,Black Soil,low,4.27,Kokum (kokkum pazham),Urea,Powdery Mildew,Chlorothalonil
Rainy (Monsoon),Silt,medium,3.26,Kokum (kokkum pazham),Farmyard Manure,Blight,Sulfur Spray
Summer,Black Soil,high,3.35,Kokum (kokkum pazham),Compost,Blight,Chlorothalonil
Winter,Clay,low,2.94,Kokum (kokkum pazham),Vermicompost,Root Rot,Neem Oil
Cold,Sandy,high,4.39,Kokum (kokkum pazham),Urea,Root Rot,Chlorothalonil
Summer,Sandy,low,1.01,Kokum (kokkum pazham),Vermicompost,Wilt,Copper Fungicide
Summer,Clay,medium,2.59,Kokum (kokkum pazham),Vermicompost,Powdery Mildew,Copper Fungicide
Spring,Loamy,low,1.19,Kokum (kokkum pazham),Vermicompost,Rust,Sulfur Spray
Cold,Clay,medium,0.68,Kokum (kokkum pazham),Urea,Root Rot,Carbendazim
Winter,Sandy,medium,1.76,Kokum (kokkum pazham),Compost,Wilt,Sulfur Spray
Spring,Sandy,high,0.84,Mahua,Urea,Root Rot,Copper Fungicide
Summer,Clay,low,1.53,Mahua,Farmyard Manure,Rust,Chlorothalonil
Cold,Loamy,medium,4.41,Mahua,Compost,Root Rot,Trichoderma
Summer,Clay,medium,0.57,Mahua,Urea,Rust,Sulfur Spray
Summer,Black Soil,medium,0.51,Mahua,Compost,Wilt,Neem Oil
Rainy (Monsoon),Clay,medium,3.32,Mahua,Vermicompost,Root Rot,Chlorothalonil
Cold,Loamy,high,4.83,Mahua,NPK,Root Rot,Trichoderma
Cold,Black Soil,low,4.98,Mahua,Compost,Root Rot,Copper Fungicide
Summer,Black Soil,medium,4.63,Mahua,NPK,Powdery Mildew,Chlorothalonil
Cold,Red Soil,high,1.39,Mahua,Vermicompost,Leaf Spot,Carbendazim
Cold,Clay,medium,3.43,Custard Berry (kramberi),Urea,Rust,Trichoderma
Summer,Clay,high,1.48,Custard Berry (kramberi),Bone Meal,Leaf Spot,Carbendazim
Rainy (Monsoon),Silt,low,2.11,Custard Berry (kramberi),Vermicompost,Blight,Chlorothalonil
Cold,Silt,high,2.8,Custard Berry (kramberi),Farmyard Manure,Root Rot,Neem Oil
Cold,Silt,medium,2.85,Custard Berry (kramberi),Compost,Blight,Carbendazim
Cold,Silt,low,0.77,Custard Berry (kramberi),Farmyard Manure,Powdery Mildew,Trichoderma
Winter,Loamy,medium,2.75,Custard Berry (kramberi),NPK,Rust,Copper Fungicide
Summer,Silt,high,2.89,Custard Berry (kramberi),NPK,Wilt,Neem Oil
Summer,Loamy,low,3.5,Custard Berry (kramberi),Vermicompost,Wilt,Carbendazim
Summer,Clay,medium,3.89,Custard Berry (kramberi),Bone Meal,Powdery Mildew,Chlorothalonil
Summer,Red Soil,low,3.91,Star Fruit (kemmapazham),NPK,Rust,Carbendazim
Summer,Black Soil,medium,0.75,Star Fruit (kemmapazham),NPK,Leaf Spot,Carbendazim
Summer,Clay,medium,1.33,Star Fruit (kemmapazham),Farmyard Manure,Rust,Chlorothalonil
Winter,Sandy,high,1.26,Star Fruit (kemmapazham),NPK,Wilt,Carbendazim
Spring,Sandy,low,1.12,Star Fruit (kemmapazham),Bone Meal,Blight,Chlorothalonil
Rainy (Monsoon),Black Soil,medium,1.9,Star Fruit (kemmapazham),Compost,Rust,Chlorothalonil
Cold,Black Soil,low,3.53,Star Fruit (kemmapazham),NPK,Blight,Sulfur Spray
Cold,Red Soil,high,4.94,Star Fruit (kemmapazham),Urea,Root Rot,Carbendazim
Winter,Silt,high,3.78,Star Fruit (kemmapazham),Farmyard Manure,Leaf Spot,Carbendazim
Cold,Sandy,low,4.34,Star Fruit (kemmapazham),Compost,Powdery Mildew,Sulfur Spray
Spring,Clay,low,4.29,Dragon Fruit (dragon pazham),Vermicompost,Leaf Spot,Carbendazim
Cold,Red Soil,medium,0.94,Dragon Fruit (dragon pazham),Bone Meal,Root Rot,Sulfur Spray
Winter,Red Soil,high,4.42,Dragon Fruit (dragon pazham),Urea,Powdery Mildew,Chlorothalonil
Spring,Loamy,medium,2.24,Dragon Fruit (dragon pazham),Compost,Rust,Chlorothalonil
Cold,Red Soil,low,2.74,Dragon Fruit (dragon pazham),Vermicompost,Leaf Spot,Neem Oil
Rainy (Monsoon),Red Soil,low,3.03,Dragon Fruit (dragon pazham),Farmyard Manure,Leaf Spot,Copper Fungicide
Summer,Silt,low,4.59,Dragon Fruit (dragon pazham),Farmyard Manure,Rust,Neem Oil
Cold,Silt,medium,4.65,Dragon Fruit (dragon pazham),Vermicompost,Rust,Trichoderma
Rainy (Monsoon),Clay,low,2.32,Dragon Fruit (dragon pazham),Bone Meal,Leaf Spot,Copper Fungicide
Spring,Red Soil,high,3.6,Dragon Fruit (dragon pazham),NPK,Powdery Mildew,Copper Fungicide
Spring,Black Soil,low,3.39,Passion Fruit,Compost,Rust,Sulfur Spray
Winter,Red Soil,high,2.55,Passion Fruit,NPK,Wilt,Carbendazim
Summer,Red Soil,low,1.95,Passion Fruit,Vermicompost,Wilt,Trichoderma
Cold,Black Soil,low,3.42,Passion Fruit,Bone Meal,Wilt,Carbendazim
Spring,Red Soil,low,4.21,Passion Fruit,NPK,Blight,Trichoderma
Summer,Clay,high,2.85,Passion Fruit,Farmyard Manure,Wilt,Neem Oil
Cold,Sandy,low,2.83,Passion Fruit,Bone Meal,Root Rot,Chlorothalonil
Cold,Black Soil,low,1.36,Passion Fruit,Bone Meal,Root Rot,Carbendazim
Winter,Black Soil,low,3.83,Passion Fruit,NPK,Powdery Mildew,Trichoderma
Winter,Loamy,medium,1.78,Passion Fruit,Compost,Blight,Copper Fungicide
Summer,Silt,medium,4.91,Kiwi,Bone Meal,Blight,Sulfur Spray
Winter,Silt,medium,3.65,Kiwi,Vermicompost,Leaf Spot,Neem Oil
Rainy (Monsoon),Red Soil,medium,3.8,Kiwi,Compost,Wilt,Carbendazim
Cold,Red Soil,low,0.77,Kiwi,Bone Meal,Blight,Carbendazim
Cold,Black Soil,medium,3.02,Kiwi,Urea,Rust,Trichoderma
Rainy (Monsoon),Red Soil,low,2.28,Kiwi,Bone Meal,Blight,Copper Fungicide
Spring,Sandy,medium,0.77,Kiwi,Farmyard Manure,Blight,Neem Oil
Winter,Red Soil,medium,2.05,Kiwi,Urea,Blight,Neem Oil
Spring,Silt,medium,4.52,Kiwi,Vermicompost,Rust,Neem Oil
Spring,Black Soil,high,2.44,Kiwi,Farmyard Manure,Rust,Sulfur Spray
Cold,Red Soil,high,3.79,Fig(Athi Pazham),Urea,Rust,Chlorothalonil
Spring,Black Soil,medium,4.46,Fig(Athi Pazham),Vermicompost,Root Rot,Trichoderma
Winter,Black Soil,low,2.52,Fig(Athi Pazham),NPK,Powdery Mildew,Trichoderma
Cold,Red Soil,high,0.68,Fig(Athi Pazham),NPK,Rust,Sulfur Spray
Rainy (Monsoon),Red Soil,medium,4.02,Fig(Athi Pazham),Bone Meal,Root Rot,Chlorothalonil
Rainy (Monsoon),Black Soil,medium,4.25,Fig(Athi Pazham),Compost,Leaf Spot,Chlorothalonil
Spring,Silt,high,3.92,Fig(Athi Pazham),Vermicompost,Powdery Mildew,Copper Fungicide
Spring,Loamy,low,1.69,Fig(Athi Pazham),NPK,Blight,Sulfur Spray
Rainy (Monsoon),Sandy,low,4.42,Fig(Athi Pazham),Urea,Wilt,Copper Fungicide
